5	1.04647	10	4
5	1.08924	15	9
5	1.09387	20	14
5	1.1329	25	19
5	1.32172	30	130
5	1.56464	35	290
5	1.81027	40	475
5	2.1	22	684
5	2.1	22	684
5	2.18666	25	731
5	2.45713	30	866
5	2.74976	35	1026
5	2.8	17	1053
5	2.85	19	1079
5	2.89378	20	1090
5	2.95	20	1104
5	3	21	1118
5	3.05	11	1134
5	3.1	13	1151
5	3.18554	15	1173
5	3.44236	20	1258
5	3.69454	25	1368
5	3.7	12	1374
5	3.75	14	1396
5	3.77922	15	1401
5	3.8	15	1409
5	3.99416	20	1486
5	4.20818	25	1596
5	4.42291	30	1731
5	4.66377	35	1891
5	4.95566	40	2076
5	5.26975	45	2286
5	5.6	24	2488
5	5.6004	25	2488
5	5.65	26	2520
5	5.7	26	2531
5	5.8	27	2566
5	5.85	28	2580
5	5.9	29	2596
5	5.95	29	2616
5	5.96307	30	2623
5	6	15	2638
5	6.1	17	2666
5	6.15	18	2675
5	6.2	18	2687
5	6.25	9	2704
5	6.25065	10	2704
5	6.3	11	2717
5	6.35	11	2724
5	6.45	6	2741
5	6.5	4	2751
5	6.50287	5	2751
5	6.6	3	2765
5	6.63221	5	2769
5	6.84719	10	2804
5	7.06584	15	2864
5	7.2817	20	2949
5	7.49572	25	3059
5	7.70974	30	3194
5	7.92375	35	3354
5	8.13777	40	3539
5	8.35976	45	3749
5	8.61121	50	3984
5	8.89834	55	4244
5	9.22785	60	4529
5	9.5	31	4766
5	9.55	33	4807
5	9.65	34	4833
5	9.65	34	4833
5	9.7	34	4849
5	9.74181	35	4865
5	9.75	35	4867
5	9.8	35	4894
5	9.85	36	4919
5	9.9	37	4941
5	9.95	37	4968
5	10	19	4995
5	10	19	4995
5	10.0005	20	4995
5	10.05	21	5021
5	10.1	21	5035
5	10.15	22	5049
5	10.2	11	5070
5	10.3	13	5093
5	10.35	7	5101
5	10.4	4	5110
5	10.4	4	5110
5	10.407	5	5110
5	10.45	5	5115
5	10.5	3	5121
5	10.5355	5	5125
5	10.7496	10	5160
5	10.9636	15	5220
5	11.1776	20	5305
5	11.3916	25	5415
5	11.6056	30	5550
5	11.8196	35	5710
5	12.0336	40	5895
5	12.2477	45	6105
5	12.4667	50	6340
5	12.7075	55	6600
5	12.9716	60	6885
5	13.2587	65	7195
5	13.5691	70	7530
5	13.8	36	7780
5	13.85	38	7834
5	13.9	39	7858
5	13.95	39	7882
5	13.9699	40	7894
5	14	40	7908
5	14.05	41	7943
5	14.1	42	7980
5	14.15	43	8019
5	14.25	22	8091
5	14.3	24	8126
5	14.3303	25	8138
5	14.35	25	8142
5	14.4	25	8163
5	14.45	13	8191
5	14.4872	15	8205
5	14.55	16	8223
5	14.6	16	8235
5	14.65	8	8248
5	14.6621	10	8257
5	14.75	5	8277
5	14.8	3	8286
5	14.8333	5	8290
5	15.0473	10	8325
5	15.2614	15	8385
5	15.4754	20	8470
5	15.6894	25	8580
5	15.9034	30	8715
5	16.1174	35	8875
5	16.3314	40	9060
5	16.5455	45	9270
