35, Deleted path: 95, deletedWindow: 4, totalWindow: 45, m_inFlight[]: 4
35, Deleted path: 0, deletedWindow: 1, totalWindow: 50, m_inFlight[]: 0
35, Deleted path: 9, deletedWindow: 1, totalWindow: 54, m_inFlight[]: 0
21, Deleted path: 35, deletedWindow: 4, totalWindow: 482, m_inFlight[]: 4
7, Deleted path: 0, deletedWindow: 1, totalWindow: 37, m_inFlight[]: 4
21, Deleted path: 54, deletedWindow: 4, totalWindow: 456, m_inFlight[]: 0
7, Deleted path: 95, deletedWindow: 3, totalWindow: 45, m_inFlight[]: 3
35, Deleted path: 0, deletedWindow: 1, totalWindow: 78, m_inFlight[]: 0
21, Deleted path: 39, deletedWindow: 1, totalWindow: 389, m_inFlight[]: 0
35, Deleted path: 73, deletedWindow: 4, totalWindow: 88, m_inFlight[]: 4
35, Deleted path: 9, deletedWindow: 3, totalWindow: 100, m_inFlight[]: 3
7, Deleted path: 0, deletedWindow: 1, totalWindow: 88, m_inFlight[]: 2
35, Deleted path: 0, deletedWindow: 1, totalWindow: 121, m_inFlight[]: 0
7, Deleted path: 24, deletedWindow: 5, totalWindow: 105, m_inFlight[]: 5
35, Deleted path: 95, deletedWindow: 1, totalWindow: 122, m_inFlight[]: 3
35, Deleted path: 9, deletedWindow: 1, totalWindow: 130, m_inFlight[]: 0
21	contentNum: 53	timeTemp: 10.0907, contentTotal: 1, avg comp time: 9.91605, m_totalWindow: 393, sumOfWindow: 393
7, Deleted path: 39, deletedWindow: 1, totalWindow: 145, m_inFlight[]: 1
7, Deleted path: 95, deletedWindow: 1, totalWindow: 152, m_inFlight[]: 2
35, Deleted path: 73, deletedWindow: 3, totalWindow: 150, m_inFlight[]: 3
7, Deleted path: 39, deletedWindow: 1, totalWindow: 184, m_inFlight[]: 0
35, Deleted path: 9, deletedWindow: 1, totalWindow: 182, m_inFlight[]: 1
7, Deleted path: 0, deletedWindow: 3, totalWindow: 202, m_inFlight[]: 3
35, Deleted path: 95, deletedWindow: 1, totalWindow: 182, m_inFlight[]: 0
7, Deleted path: 35, deletedWindow: 3, totalWindow: 217, m_inFlight[]: 3
7, Deleted path: 95, deletedWindow: 4, totalWindow: 213, m_inFlight[]: 4
35, Deleted path: 39, deletedWindow: 5, totalWindow: 192, m_inFlight[]: 5
35, Deleted path: 9, deletedWindow: 3, totalWindow: 203, m_inFlight[]: 3
7, Deleted path: 13, deletedWindow: 5, totalWindow: 238, m_inFlight[]: 5
7, Deleted path: 39, deletedWindow: 5, totalWindow: 253, m_inFlight[]: 5
35, Deleted path: 73, deletedWindow: 4, totalWindow: 221, m_inFlight[]: 4
7, Deleted path: 54, deletedWindow: 7, totalWindow: 285, m_inFlight[]: 7
35, Deleted path: 18, deletedWindow: 5, totalWindow: 217, m_inFlight[]: 10
7, Deleted path: 35, deletedWindow: 3, totalWindow: 293, m_inFlight[]: 3
35, Deleted path: 95, deletedWindow: 1, totalWindow: 235, m_inFlight[]: 1
7, Deleted path: 31, deletedWindow: 1, totalWindow: 311, m_inFlight[]: 2
21, Deleted path: 73, deletedWindow: 2, totalWindow: 95, m_inFlight[]: 3
7, Deleted path: 0, deletedWindow: 3, totalWindow: 273, m_inFlight[]: 3
35, Deleted path: 9, deletedWindow: 1, totalWindow: 249, m_inFlight[]: 0
7, Deleted path: 95, deletedWindow: 1, totalWindow: 284, m_inFlight[]: 3
35, Deleted path: 54, deletedWindow: 6, totalWindow: 257, m_inFlight[]: 6
7, Deleted path: 39, deletedWindow: 3, totalWindow: 311, m_inFlight[]: 3
7, Deleted path: 9, deletedWindow: 5, totalWindow: 338, m_inFlight[]: 5
21, Deleted path: 95, deletedWindow: 3, totalWindow: 183, m_inFlight[]: 3
35, Deleted path: 9, deletedWindow: 1, totalWindow: 304, m_inFlight[]: 0
21, Deleted path: 54, deletedWindow: 4, totalWindow: 180, m_inFlight[]: 4
7, Deleted path: 35, deletedWindow: 1, totalWindow: 347, m_inFlight[]: 0
21, Deleted path: 35, deletedWindow: 1, totalWindow: 198, m_inFlight[]: 2
7, Deleted path: 95, deletedWindow: 3, totalWindow: 349, m_inFlight[]: 3
35, Deleted path: 95, deletedWindow: 1, totalWindow: 360, m_inFlight[]: 2
7, Deleted path: 39, deletedWindow: 4, totalWindow: 335, m_inFlight[]: 4
21, Deleted path: 14, deletedWindow: 5, totalWindow: 265, m_inFlight[]: 5
7, Deleted path: 31, deletedWindow: 1, totalWindow: 349, m_inFlight[]: 0
35, Deleted path: 73, deletedWindow: 4, totalWindow: 406, m_inFlight[]: 4
7, Deleted path: 0, deletedWindow: 1, totalWindow: 323, m_inFlight[]: 4
21, Deleted path: 95, deletedWindow: 6, totalWindow: 245, m_inFlight[]: 6
35, Deleted path: 9, deletedWindow: 1, totalWindow: 427, m_inFlight[]: 0
35, Deleted path: 54, deletedWindow: 2, totalWindow: 414, m_inFlight[]: 4
7, Deleted path: 35, deletedWindow: 1, totalWindow: 336, m_inFlight[]: 0
35, Deleted path: 2, deletedWindow: 1, totalWindow: 408, m_inFlight[]: 0
21, Deleted path: 35, deletedWindow: 4, totalWindow: 290, m_inFlight[]: 4
7, Deleted path: 39, deletedWindow: 1, totalWindow: 341, m_inFlight[]: 1
7	contentNum: 7	timeTemp: 12.3722, contentTotal: 1, avg comp time: 14.4264, m_totalWindow: 341, sumOfWindow: 341
35	contentNum: 13	timeTemp: 14.9372, contentTotal: 1, avg comp time: 15.1154, m_totalWindow: 407, sumOfWindow: 407
21, Deleted path: 54, deletedWindow: 5, totalWindow: 423, m_inFlight[]: 5
21, Deleted path: 95, deletedWindow: 5, totalWindow: 421, m_inFlight[]: 5
21, Deleted path: 35, deletedWindow: 3, totalWindow: 368, m_inFlight[]: 3
35, Deleted path: 0, deletedWindow: 3, totalWindow: 23, m_inFlight[]: 3
35, Deleted path: 0, deletedWindow: 1, totalWindow: 28, m_inFlight[]: 0
21	contentNum: 56	timeTemp: 8.89555, contentTotal: 2, avg comp time: 9.57588, m_totalWindow: 448, sumOfWindow: 448
7, Deleted path: 73, deletedWindow: 1, totalWindow: 29, m_inFlight[]: 2
35, Deleted path: 95, deletedWindow: 1, totalWindow: 58, m_inFlight[]: 2
35, Deleted path: 73, deletedWindow: 1, totalWindow: 49, m_inFlight[]: 3
35, Deleted path: 0, deletedWindow: 1, totalWindow: 54, m_inFlight[]: 0
7, Deleted path: 0, deletedWindow: 1, totalWindow: 72, m_inFlight[]: 3
35, Deleted path: 9, deletedWindow: 1, totalWindow: 82, m_inFlight[]: 0
7, Deleted path: 95, deletedWindow: 6, totalWindow: 110, m_inFlight[]: 6
7, Deleted path: 39, deletedWindow: 3, totalWindow: 127, m_inFlight[]: 3
35, Deleted path: 73, deletedWindow: 7, totalWindow: 123, m_inFlight[]: 7
35, Deleted path: 95, deletedWindow: 2, totalWindow: 129, m_inFlight[]: 4
7, Deleted path: 73, deletedWindow: 1, totalWindow: 155, m_inFlight[]: 5
35, Deleted path: 0, deletedWindow: 3, totalWindow: 155, m_inFlight[]: 3
7, Deleted path: 0, deletedWindow: 1, totalWindow: 196, m_inFlight[]: 0
35, Deleted path: 39, deletedWindow: 6, totalWindow: 175, m_inFlight[]: 6
7, Deleted path: 39, deletedWindow: 4, totalWindow: 181, m_inFlight[]: 4
35, Deleted path: 73, deletedWindow: 5, totalWindow: 169, m_inFlight[]: 5
35, Deleted path: 95, deletedWindow: 4, totalWindow: 175, m_inFlight[]: 4
7, Deleted path: 95, deletedWindow: 1, totalWindow: 228, m_inFlight[]: 1
7, Deleted path: 73, deletedWindow: 3, totalWindow: 244, m_inFlight[]: 3
35, Deleted path: 0, deletedWindow: 3, totalWindow: 197, m_inFlight[]: 3
7, Deleted path: 31, deletedWindow: 5, totalWindow: 263, m_inFlight[]: 5
35, Deleted path: 54, deletedWindow: 5, totalWindow: 230, m_inFlight[]: 5
7, Deleted path: 39, deletedWindow: 4, totalWindow: 308, m_inFlight[]: 4
35, Deleted path: 0, deletedWindow: 2, totalWindow: 262, m_inFlight[]: 2
35, Deleted path: 39, deletedWindow: 1, totalWindow: 228, m_inFlight[]: 0
35, Deleted path: 95, deletedWindow: 2, totalWindow: 217, m_inFlight[]: 3
7, Deleted path: 95, deletedWindow: 9, totalWindow: 342, m_inFlight[]: 9
7, Deleted path: 0, deletedWindow: 1, totalWindow: 320, m_inFlight[]: 2
35, Deleted path: 0, deletedWindow: 1, totalWindow: 240, m_inFlight[]: 2
7, Deleted path: 73, deletedWindow: 1, totalWindow: 320, m_inFlight[]: 2
35, Deleted path: 54, deletedWindow: 4, totalWindow: 285, m_inFlight[]: 4
7, Deleted path: 95, deletedWindow: 2, totalWindow: 283, m_inFlight[]: 8
7, Deleted path: 31, deletedWindow: 5, totalWindow: 299, m_inFlight[]: 5
35, Deleted path: 39, deletedWindow: 7, totalWindow: 319, m_inFlight[]: 7
35, Deleted path: 0, deletedWindow: 2, totalWindow: 287, m_inFlight[]: 2
7, Deleted path: 0, deletedWindow: 1, totalWindow: 338, m_inFlight[]: 0
