0	8	102442	55668.1
7	15	181566	98768.9
8	16	102444	55670.1
11	19	370271	201443
13	49	370390	201573
14	15	188699	102648
15	23	370266	201424
16	24	102449	55675.8
17	11	370268	201437
19	13	370274	201446
23	17	370266	201430
24	25	386434	209896
25	33	386435	209903
27	49	386893	210389
28	36	100960	54858.5
30	24	304164	165183
33	27	386436	209909
35	36	100948	54832.3
36	30	304168	165183
42	36	102262	55492.1
