???Consumer setting starts35	timeTemp: 31.8267, contentTotal: 0, avg comp time: 31.8267
28	timeTemp: 31.8425, contentTotal: 15, avg comp time: 31.704
0	timeTemp: 31.8575, contentTotal: 15, avg comp time: 31.76
35	timeTemp: 31.8566, contentTotal: 15, avg comp time: 31.7495
42	timeTemp: 31.8353, contentTotal: 15, avg comp time: 31.8392
7	timeTemp: 31.8574, contentTotal: 15, avg comp time: 31.8092
0	timeTemp: 30.7535, contentTotal: 16, avg comp time: 31.7008
28	timeTemp: 31.8278, contentTotal: 16, avg comp time: 31.7113
14	timeTemp: 31.8564, contentTotal: 16, avg comp time: 31.8499
35	timeTemp: 31.8497, contentTotal: 16, avg comp time: 31.7554
42	timeTemp: 31.8431, contentTotal: 16, avg comp time: 31.8394
7	timeTemp: 31.8578, contentTotal: 16, avg comp time: 31.8121
28	timeTemp: 31.8566, contentTotal: 17, avg comp time: 31.7193
0	timeTemp: 31.8567, contentTotal: 17, avg comp time: 31.7095
14	timeTemp: 31.8577, contentTotal: 17, avg comp time: 31.8503
35	timeTemp: 31.8507, contentTotal: 17, avg comp time: 31.7607
7	timeTemp: 31.8273, contentTotal: 17, avg comp time: 31.8129
42	timeTemp: 31.8278, contentTotal: 17, avg comp time: 31.8388
0	timeTemp: 30.8606, contentTotal: 18, avg comp time: 31.6648
28	timeTemp: 31.8644, contentTotal: 18, avg comp time: 31.727
14	timeTemp: 31.8426, contentTotal: 18, avg comp time: 31.8499
35	timeTemp: 31.8421, contentTotal: 18, avg comp time: 31.765
7	timeTemp: 31.8578, contentTotal: 18, avg comp time: 31.8153
42	timeTemp: 31.8419, contentTotal: 18, avg comp time: 31.839
0	timeTemp: 31.8507, contentTotal: 19, avg comp time: 31.6741
28	timeTemp: 31.842, contentTotal: 19, avg comp time: 31.7327
14	timeTemp: 31.842, contentTotal: 19, avg comp time: 31.8495
35	timeTemp: 31.8579, contentTotal: 19, avg comp time: 31.7696
7	timeTemp: 31.8493, contentTotal: 19, avg comp time: 31.817
42	timeTemp: 31.8498, contentTotal: 19, avg comp time: 31.8395
0	timeTemp: 31.8271, contentTotal: 20, avg comp time: 31.6814
35	timeTemp: 30.7584, contentTotal: 20, avg comp time: 31.7215
28	timeTemp: 31.8422, contentTotal: 20, avg comp time: 31.7379
14	timeTemp: 31.8506, contentTotal: 20, avg comp time: 31.8496
7	timeTemp: 31.8573, contentTotal: 20, avg comp time: 31.8189
42	timeTemp: 31.8429, contentTotal: 20, avg comp time: 31.8397
0	timeTemp: 30.6013, contentTotal: 21, avg comp time: 31.6323
28	timeTemp: 31.8276, contentTotal: 21, avg comp time: 31.742
14	timeTemp: 31.8429, contentTotal: 21, avg comp time: 31.8493
35	timeTemp: 31.8429, contentTotal: 21, avg comp time: 31.727
42	timeTemp: 31.8418, contentTotal: 21, avg comp time: 31.8398
7	timeTemp: 31.8435, contentTotal: 21, avg comp time: 31.82
0	timeTemp: 31.8494, contentTotal: 22, avg comp time: 31.6417
28	timeTemp: 31.8423, contentTotal: 22, avg comp time: 31.7464
14	timeTemp: 31.8428, contentTotal: 22, avg comp time: 31.849
35	timeTemp: 31.8423, contentTotal: 22, avg comp time: 31.732
42	timeTemp: 31.8434, contentTotal: 22, avg comp time: 31.8399
7	timeTemp: 31.8571, contentTotal: 22, avg comp time: 31.8216
0	timeTemp: 31.85, contentTotal: 23, avg comp time: 31.6504
28	timeTemp: 31.8568, contentTotal: 23, avg comp time: 31.751
14	timeTemp: 31.8268, contentTotal: 23, avg comp time: 31.8481
35	timeTemp: 31.8572, contentTotal: 23, avg comp time: 31.7372
7	timeTemp: 31.8433, contentTotal: 23, avg comp time: 31.8225
42	timeTemp: 31.8436, contentTotal: 23, avg comp time: 31.8401
0	timeTemp: 31.8414, contentTotal: 24, avg comp time: 31.658
28	timeTemp: 31.8571, contentTotal: 24, avg comp time: 31.7552
14	timeTemp: 31.8501, contentTotal: 24, avg comp time: 31.8482
35	timeTemp: 31.8345, contentTotal: 24, avg comp time: 31.7411
7	timeTemp: 31.8573, contentTotal: 24, avg comp time: 31.8239
42	timeTemp: 31.8491, contentTotal: 24, avg comp time: 31.8404
0	timeTemp: 31.8342, contentTotal: 25, avg comp time: 31.6648
28	timeTemp: 31.8268, contentTotal: 25, avg comp time: 31.758
35	timeTemp: 30.2603, contentTotal: 25, avg comp time: 31.6842
14	timeTemp: 31.8427, contentTotal: 25, avg comp time: 31.8479
42	timeTemp: 31.8426, contentTotal: 25, avg comp time: 31.8405
7	timeTemp: 31.8413, contentTotal: 25, avg comp time: 31.8246
0	timeTemp: 31.8498, contentTotal: 26, avg comp time: 31.6717
28	timeTemp: 31.827, contentTotal: 26, avg comp time: 31.7605
35	timeTemp: 31.8339, contentTotal: 26, avg comp time: 31.6897
14	timeTemp: 31.8416, contentTotal: 26, avg comp time: 31.8477
7	timeTemp: 31.834, contentTotal: 26, avg comp time: 31.8249
0	timeTemp: 31.8501, contentTotal: 27, avg comp time: 31.678
42	timeTemp: 31.835, contentTotal: 26, avg comp time: 31.8403
28	timeTemp: 31.8346, contentTotal: 27, avg comp time: 31.7632
14	timeTemp: 30.2773, contentTotal: 27, avg comp time: 31.7916
35	timeTemp: 31.8567, contentTotal: 27, avg comp time: 31.6957
7	timeTemp: 31.8418, contentTotal: 27, avg comp time: 31.8255
42	timeTemp: 31.85, contentTotal: 27, avg comp time: 31.8407
0	timeTemp: 31.8419, contentTotal: 28, avg comp time: 31.6837
28	timeTemp: 31.8492, contentTotal: 28, avg comp time: 31.7661
35	timeTemp: 31.841, contentTotal: 28, avg comp time: 31.7007
14	timeTemp: 31.8422, contentTotal: 28, avg comp time: 31.7934
7	timeTemp: 30.1661, contentTotal: 28, avg comp time: 31.7683
0	timeTemp: 31.841, contentTotal: 29, avg comp time: 31.6889
42	timeTemp: 31.8499, contentTotal: 28, avg comp time: 31.841
28	timeTemp: 31.8492, contentTotal: 29, avg comp time: 31.7689
14	timeTemp: 31.8492, contentTotal: 29, avg comp time: 31.7952
35	timeTemp: 31.8575, contentTotal: 29, avg comp time: 31.7059
7	timeTemp: 31.8272, contentTotal: 29, avg comp time: 31.7703
0	timeTemp: 31.8503, contentTotal: 30, avg comp time: 31.6941
42	timeTemp: 31.8424, contentTotal: 29, avg comp time: 31.841
28	timeTemp: 31.8574, contentTotal: 30, avg comp time: 31.7718
