Path delete. m_index: 0, deleted path: 49, deletedWindow: 10, totalWindow: 1644, m_inFlight[]: 10, totalInFlight: 1703, m_pathWindow:  63
0	14.799	contentNum: 862	timeTemp: 6.16703, contentTotal: 1, avg comp time: 6.19952, m_totalWindow: 2092, sumOfWindow: 2092
Path delete. m_index: 0, deleted path: 9, deletedWindow: 14, totalWindow: 1622, m_inFlight[]: 14, totalInFlight: 1668, m_pathWindow:  64
BranchIndex: 0, m_window[]: 57, m_inFlight[]: 57
BranchIndex: 1, m_window[]: 6, m_inFlight[]: 6
BranchIndex: 2, m_window[]: 43, m_inFlight[]: 43
BranchIndex: 3, m_window[]: 13, m_inFlight[]: 13
BranchIndex: 4, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 5, m_window[]: 7, m_inFlight[]: 29
BranchIndex: 6, m_window[]: 61, m_inFlight[]: 61
BranchIndex: 7, m_window[]: 1, m_inFlight[]: 1
BranchIndex: 8, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 9, m_window[]: 14, m_inFlight[]: 14
BranchIndex: 10, m_window[]: 30, m_inFlight[]: 30
BranchIndex: 11, m_window[]: 22, m_inFlight[]: 22
BranchIndex: 12, m_window[]: 19, m_inFlight[]: 19
BranchIndex: 13, m_window[]: 6, m_inFlight[]: 6
BranchIndex: 14, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 15, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 16, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 17, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 18, m_window[]: 24, m_inFlight[]: 24
BranchIndex: 19, m_window[]: 43, m_inFlight[]: 43
BranchIndex: 20, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 21, m_window[]: 24, m_inFlight[]: 28
BranchIndex: 22, m_window[]: 19, m_inFlight[]: 19
BranchIndex: 23, m_window[]: 50, m_inFlight[]: 50
BranchIndex: 24, m_window[]: 36, m_inFlight[]: 36
BranchIndex: 25, m_window[]: 14, m_inFlight[]: 14
BranchIndex: 26, m_window[]: 8, m_inFlight[]: 8
BranchIndex: 27, m_window[]: 2, m_inFlight[]: 2
BranchIndex: 28, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 29, m_window[]: 6, m_inFlight[]: 6
BranchIndex: 30, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 31, m_window[]: 10, m_inFlight[]: 10
BranchIndex: 32, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 33, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 34, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 35, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 36, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 37, m_window[]: 7, m_inFlight[]: 7
BranchIndex: 38, m_window[]: 22, m_inFlight[]: 22
BranchIndex: 39, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 40, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 41, m_window[]: 13, m_inFlight[]: 13
