0	1	149648	81421.9
0	7	120759	65703.8
0	8	114167	62110.6
1	2	115911	63062.7
1	8	73111	39779.2
1	9	106951	58189.1
2	3	129111	70244.1
2	9	59238	32225.8
2	10	59410	32325.2
3	4	98211	53435.3
3	10	80248	43661.7
3	11	83042	45178.1
4	5	43415	23623.2
4	11	58703	31938.9
4	12	62364	33933.9
5	6	51097	27806.6
5	12	93460	50858
5	13	40912	22261.3
6	13	56648	30825.4
6	49	54123	29452.5
7	1	151876	82628.5
7	8	118927	64704.4
7	14	128643	69982.7
7	15	151673	82511.5
8	2	134649	73254.9
8	9	125468	68266.9
8	15	72676	39544.1
8	16	91121	49582.9
9	3	133337	72542.8
9	10	82854	45074.4
9	16	80106	43582.8
9	17	135622	73798
10	4	66430	36146.2
10	11	80763	43937.6
10	17	100244	54545.8
10	18	99773	54287
11	5	142361	77468.8
11	12	76130	41418.8
11	18	85263	46391.2
11	19	100968	54924.4
12	6	59696	32482.1
12	13	61860	33660
12	19	101329	55132
12	20	137862	75008
13	20	117368	63857.2
13	49	205842	111999
14	8	131884	71766.1
14	15	101437	55200.5
14	21	119059	64789.8
14	22	150210	81734.8
15	9	147172	80072.7
15	16	99019	53881.3
15	22	82997	45154.7
15	23	89780	48846.1
16	10	127750	69512
16	17	115865	63040.9
16	23	63134	34349.2
16	24	161651	87954.7
17	11	183534	99860.1
17	18	120134	65359.8
17	24	101359	55155.9
17	25	74374	40466.7
18	12	129223	70300
18	19	190905	103865
18	25	92181	50146.1
18	26	137436	74782.3
19	13	163901	89165.8
19	20	119195	64848.1
19	26	85240	46378.8
19	27	175673	95578
20	27	278329	151427
20	49	288781	157113
21	15	97312	52944
21	22	82958	45134.6
21	28	134002	72891.5
21	29	72785	39600.4
22	16	202709	110285
22	23	195321	106271
22	29	74443	40491.1
22	30	130972	71259.8
23	17	130669	71084.7
23	24	301647	164095
23	30	112511	61189.2
23	31	190303	103513
24	18	246148	133906
24	25	285270	155186
24	31	124153	67520.5
24	32	289989	157760
25	19	151593	82470
25	26	257661	140177
25	32	77771	42307.1
25	33	281596	153167
26	20	193109	105053
26	27	252088	137145
26	33	55158	29999.3
26	34	249476	135731
27	34	387793	210947
27	49	1216931	662040
28	22	144765	78764.3
28	29	116143	63184.4
28	35	169386	92106.9
28	36	163690	89055.1
29	23	168101	91421
29	30	149378	81243.7
29	36	110089	59866.8
29	37	80437	43756.4
30	24	134491	73151.3
30	31	142451	77485.9
30	37	66016	35895.6
30	38	120571	65569.2
31	25	163439	88893.8
31	32	102081	55522.3
31	38	82930	45093.9
31	39	148294	80662.8
32	26	160602	87360.4
32	33	124619	67789.1
32	39	40415	21977
32	40	153939	83739.6
33	27	123438	67142.4
33	34	145059	78897.9
33	40	67106	36498.5
33	41	269398	146531
34	41	214097	116440
34	49	332800	181022
35	29	182247	99102.1
35	36	132611	72106.4
35	42	154054	83745.8
35	43	164704	89568.9
36	30	169287	92055.9
36	37	153342	83390.3
36	43	112991	61445.8
36	44	108650	59087.6
37	31	125560	68284.1
37	38	84137	45759.7
37	44	56176	30544.8
37	45	120428	65493.6
38	32	85414	46457.8
38	39	96519	52479.2
38	45	67230	36558.6
38	46	77510	42152.5
39	33	121880	66280
39	40	88381	48068.6
39	46	32101	17455.7
39	47	115544	62841.8
40	34	113127	61531.2
40	41	57245	31139.5
40	47	72116	39223.1
40	48	133646	72700.5
41	48	44058	23963.2
41	49	203224	110549
42	36	151409	82304.1
42	43	194299	105626
43	37	109750	59677.1
43	44	133631	72645.8
44	38	72088	39193.3
44	45	112633	61243.9
45	39	90165	49032.3
45	46	75084	40831.7
46	40	57778	31428.3
46	47	62501	33983.9
47	41	47897	26045.2
47	48	57944	31511
48	49	147504	80235.1
